0.25 3.3539256425613504e-08 [9] [9] "[ True]"
  True  True False  True False  True False  True  True  True  True  True
 False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True False  True False  True  True  True False  True  True
  True  True  True  True  True  True  True False  True  True  True  True
  True False  True  True]"
13.5 0.4294946632349647 "[3 8 6 1 3 1 0 9 5 7 9 8 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 9 3 7 9 8 3
 8 8 7 7 7 3 6 1 2 7 2 8 8 2 3 8 8 1 1 5 2 8 9 8 6 4 6 6]" "[3 8 6 3 3 1 3 9 5 7 9 8 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 9 3 7 9 8 3
 8 8 7 5 7 5 6 1 2 9 2 8 8 2 3 8 8 1 1 7 2 8 9 8 6 7 6 6]" "[ True  True  True False  True  True False  True  True  True  True  True
  True  True  True False  True False  True False  True  True  True  True
  True False  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False  True False  True  True  True False  True
  True  True  True  True  True  True  True  True False  True  True  True
  True  True False  True  True]"
13.5 0.4500746185891639 "[3 8 6 1 3 1 0 9 5 7 9 8 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 0 9 3 7 9 8
 3 8 8 7 7 7 3 6 1 2 7 2 8 8 2 3 8 8 1 1 5 2 8 9 8 6 4 6 6]" "[3 8 6 3 3 1 3 9 5 7 9 8 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 8 9 3 7 9 8
 3 8 8 7 5 7 5 6 1 2 9 2 8 8 2 3 8 8 1 1 7 2 8 9 8 6 7 6 6]" "[ True  True  True False  True  True False  True  True  True  True  True
  True  True  True False  True False  True False  True  True  True  True
  True False  True  True  True  True  True False  True  True  True  True
  True  True  True  True  True False  True False  True  True  True False
  True  True  True  True  True  True  True  True  True False  True  True
  True  True  True False  True  True]"
13.5 0.5723492280378739 "[3 8 6 1 3 1 0 9 5 7 9 8 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 0 9 3 7 9 8
 3 8 8 7 7 7 3 6 1 2 7 2 8 8 0 2 3 8 8 1 1 5 2 8 9 8 6 4 6 6]" "[3 8 6 3 3 1 3 9 5 7 9 8 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 8 9 3 7 9 8
 3 8 8 7 5 7 5 6 1 2 9 2 8 8 9 2 3 8 8 1 1 7 2 8 9 8 6 7 6 6]" "[ True  True  True False  True  True False  True  True  True  True  True
  True  True  True False  True False  True False  True  True  True  True
  True False  True  True  True  True  True False  True  True  True  True
  True  True  True  True  True False  True False  True  True  True False
  True  True  True False  True  True  True  True  True  True False  True
  True  True  True  True False  True  True]"
13.75 0.5765416356968489 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 0 9 3 7 9
 8 3 8 8 7 7 7 3 6 1 2 7 2 8 8 0 2 3 8 8 1 1 5 2 8 9 8 6 4 6 6]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 8 9 3 7 9
 8 3 8 8 7 5 7 5 6 1 2 9 2 8 8 9 2 3 8 8 1 1 7 2 8 9 8 6 7 6 6]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True  True  True False  True False  True False  True  True  True
  True  True False  True  True  True  True  True False  True  True  True
  True  True  True  True  True  True False  True False  True  True  True
 False  True  True  True False  True  True  True  True  True  True False
  True  True  True  True  True False  True  True]"
14.0 0.5769561768232945 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 8 6 0 9 5 4 0 9 6 6 5 4 9 1 9 5 4 6 6 0 9 3 7
 9 8 3 8 8 7 7 7 3 6 1 2 7 2 8 8 0 2 3 8 8 1 1 5 2 8 9 8 6 4 6 6]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 8 6 2 9 4 4 4 9 6 6 5 4 9 9 9 5 4 6 6 8 9 3 7
 9 8 3 8 8 7 5 7 5 6 1 2 9 2 8 8 9 2 3 8 8 1 1 7 2 8 9 8 6 7 6 6]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True  True  True False  True False  True False  True  True  True
  True  True  True False  True  True  True  True  True False  True  True
  True  True  True  True  True  True  True False  True False  True  True
  True False  True  True  True False  True  True  True  True  True  True
 False  True  True  True  True  True False  True  True]"
14.25 0.6289958678006253 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 8 6 0 9 5 4 0 9 6 6 5 4 9 1 9 5 4 6 6 0 9 3 7
 9 8 3 8 8 7 7 7 3 6 1 2 7 2 8 8 0 2 9 3 8 8 1 1 5 2 8 9 8 6 4 6 6]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 8 6 2 9 4 4 4 9 6 6 5 4 9 9 9 5 4 6 6 8 9 3 7
 9 8 3 8 8 7 5 7 5 6 1 2 9 2 8 8 9 2 9 3 8 8 1 1 7 2 8 9 8 6 7 6 6]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True  True  True False  True False  True False  True  True  True
  True  True  True False  True  True  True  True  True False  True  True
  True  True  True  True  True  True  True False  True False  True  True
  True False  True  True  True False  True  True  True  True  True  True
  True False  True  True  True  True  True False  True  True]"
14.5 0.649025954073588 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 8 6 0 9 5 4 0 9 6 6 5 4 9 1 9 5 4 6 6 0 9 3 7
 9 8 3 8 8 7 7 7 3 6 2 1 2 7 2 8 8 0 2 9 3 8 8 1 1 5 2 8 9 8 6 4 6 6]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 8 6 2 9 4 4 4 9 6 6 5 4 9 9 9 5 4 6 6 8 9 3 7
 9 8 3 8 8 7 5 7 5 6 2 1 2 9 2 8 8 9 2 9 3 8 8 1 1 7 2 8 9 8 6 7 6 6]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True  True  True False  True False  True False  True  True  True
  True  True  True False  True  True  True  True  True False  True  True
  True  True  True  True  True  True  True False  True False  True  True
  True  True False  True  True  True False  True  True  True  True  True
  True  True False  True  True  True  True  True False  True  True]"
14.5 0.6624053958525771 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 8 6 0 9 5 4 0 9 6 6 5 4 9 1 9 5 4 6 6 0 9 3 7
 9 8 3 8 8 7 7 7 3 6 2 1 2 7 2 8 8 0 2 9 3 8 8 1 1 2 5 2 8 9 8 6 4 6 6]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 8 6 2 9 4 4 4 9 6 6 5 4 9 9 9 5 4 6 6 8 9 3 7
 9 8 3 8 8 7 5 7 5 6 2 1 2 9 2 8 8 9 2 9 3 8 8 1 1 5 7 2 8 9 8 6 7 6 6]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True  True  True False  True False  True False  True  True  True
  True  True  True False  True  True  True  True  True False  True  True
  True  True  True  True  True  True  True False  True False  True  True
  True  True False  True  True  True False  True  True  True  True  True
  True  True False False  True  True  True  True  True False  True  True]"
14.75 0.7211661347518311 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 8 6 0 9 5 4 0 9 6 6 5 4 9 4 1 9 5 4 6 6 0 9 3
 7 9 8 3 8 8 7 7 7 3 6 2 1 2 7 2 8 8 0 2 9 3 8 8 1 1 2 5 2 8 9 8 6 4 6 6]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 8 6 2 9 4 4 4 9 6 6 5 4 9 4 9 9 5 4 6 6 8 9 3
 7 9 8 3 8 8 7 5 7 5 6 2 1 2 9 2 8 8 9 2 9 3 8 8 1 1 5 7 2 8 9 8 6 7 6 6]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True  True  True False  True False  True False  True  True  True
  True  True  True  True False  True  True  True  True  True False  True
  True  True  True  True  True  True  True  True False  True False  True
  True  True  True False  True  True  True False  True  True  True  True
  True  True  True False False  True  True  True  True  True False  True
  True]"
14.75 0.7254057124682565 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 8 6 0 9 5 4 0 9 6 6 5 4 9 4 1 9 5 4 6 6 0 9 3
 7 9 8 3 8 8 7 7 7 3 6 2 1 2 7 2 8 8 0 2 9 3 8 8 1 1 2 5 2 8 9 0 8 6 4 6 6]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 8 6 2 9 4 4 4 9 6 6 5 4 9 4 9 9 5 4 6 6 8 9 3
 7 9 8 3 8 8 7 5 7 5 6 2 1 2 9 2 8 8 9 2 9 3 8 8 1 1 5 7 2 8 9 9 8 6 7 6 6]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True  True  True False  True False  True False  True  True  True
  True  True  True  True False  True  True  True  True  True False  True
  True  True  True  True  True  True  True  True False  True False  True
  True  True  True False  True  True  True False  True  True  True  True
  True  True  True False False  True  True  True False  True  True False
  True  True]"
15.0 0.7671526347982423 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 8 6 0 9 5 4 0 9 6 6 5 4 9 4 1 9 5 4 6 6 0 9 3
 7 9 8 3 8 8 7 7 7 3 6 2 1 2 7 2 8 8 0 2 9 3 8 8 1 1 2 5 2 8 9 0 8 6 4 6 6
 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 8 6 2 9 4 4 4 9 6 6 5 4 9 4 9 9 5 4 6 6 8 9 3
 7 9 8 3 8 8 7 5 7 5 6 2 1 2 9 2 8 8 9 2 9 3 8 8 1 1 5 7 2 8 9 9 8 6 7 6 6
 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True  True  True False  True False  True False  True  True  True
  True  True  True  True False  True  True  True  True  True False  True
  True  True  True  True  True  True  True  True False  True False  True
  True  True  True False  True  True  True False  True  True  True  True
  True  True  True False False  True  True  True False  True  True False
  True  True  True]"
15.25 0.7694373545629739 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 8 6 0 9 5 4 0 9 6 6 5 4 9 4 1 9 5 4 6 6 0 9 3
 7 9 8 3 8 8 7 7 7 3 6 2 1 2 3 7 2 8 8 0 2 9 3 8 8 1 1 2 5 2 8 9 0 8 6 4 6
 6 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 8 6 2 9 4 4 4 9 6 6 5 4 9 4 9 9 5 4 6 6 8 9 3
 7 9 8 3 8 8 7 5 7 5 6 2 1 2 3 9 2 8 8 9 2 9 3 8 8 1 1 5 7 2 8 9 9 8 6 7 6
 6 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True  True  True False  True False  True False  True  True  True
  True  True  True  True False  True  True  True  True  True False  True
  True  True  True  True  True  True  True  True False  True False  True
  True  True  True  True False  True  True  True False  True  True  True
  True  True  True  True False False  True  True  True False  True  True
 False  True  True  True]"
15.25 0.7745220554896096 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 8 6 0 9 5 4 0 9 6 6 5 4 9 4 1 9 5 4 6 6 0 9 3
 7 9 8 3 8 8 7 7 4 7 3 6 2 1 2 3 7 2 8 8 0 2 9 3 8 8 1 1 2 5 2 8 9 0 8 6 4
 6 6 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 8 6 2 9 4 4 4 9 6 6 5 4 9 4 9 9 5 4 6 6 8 9 3
 7 9 8 3 8 8 7 5 5 7 5 6 2 1 2 3 9 2 8 8 9 2 9 3 8 8 1 1 5 7 2 8 9 9 8 6 7
 6 6 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True  True  True False  True False  True False  True  True  True
  True  True  True  True False  True  True  True  True  True False  True
  True  True  True  True  True  True  True  True False False  True False
  True  True  True  True  True False  True  True  True False  True  True
  True  True  True  True  True False False  True  True  True False  True
  True False  True  True  True]"
15.25 0.7895758290752619 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 0 9 5 4 0 9 6 6 5 4 9 4 1 9 5 4 6 6 0 9
 3 7 9 8 3 8 8 7 7 4 7 3 6 2 1 2 3 7 2 8 8 0 2 9 3 8 8 1 1 2 5 2 8 9 0 8 6
 4 6 6 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 2 9 4 4 4 9 6 6 5 4 9 4 9 9 5 4 6 6 8 9
 3 7 9 8 3 8 8 7 5 5 7 5 6 2 1 2 3 9 2 8 8 9 2 9 3 8 8 1 1 5 7 2 8 9 9 8 6
 7 6 6 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True False  True  True False  True False  True False  True  True
  True  True  True  True  True False  True  True  True  True  True False
  True  True  True  True  True  True  True  True  True False False  True
 False  True  True  True  True  True False  True  True  True False  True
  True  True  True  True  True  True False False  True  True  True False
  True  True False  True  True  True]"
15.25 0.9770765548852666 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 0 9 5 4 0 9 6 6 5 4 9 4 1 9 5 4 6 6 0 9
 3 7 9 8 3 8 8 7 7 4 7 3 6 2 1 2 3 7 2 8 8 0 2 9 3 8 8 1 1 2 5 2 8 9 0 8 6
 4 6 6 0 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 2 9 4 4 4 9 6 6 5 4 9 4 9 9 5 4 6 6 8 9
 3 7 9 8 3 8 8 7 5 5 7 5 6 2 1 2 3 9 2 8 8 9 2 9 3 8 8 1 1 5 7 2 8 9 9 8 6
 7 6 6 2 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True False  True  True False  True False  True False  True  True
  True  True  True  True  True False  True  True  True  True  True False
  True  True  True  True  True  True  True  True  True False False  True
 False  True  True  True  True  True False  True  True  True False  True
  True  True  True  True  True  True False False  True  True  True False
  True  True False  True  True False  True]"
15.25 1.0252289162488002 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 0 9 5 4 0 9 6 6 5 4 9 2 4 1 9 5 4 6 6 0
 9 3 7 9 8 3 8 8 7 7 4 7 3 6 2 1 2 3 7 2 8 8 0 2 9 3 8 8 1 1 2 5 2 8 9 0 8
 6 4 6 6 0 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 2 9 4 4 4 9 6 6 5 4 9 3 4 9 9 5 4 6 6 8
 9 3 7 9 8 3 8 8 7 5 5 7 5 6 2 1 2 3 9 2 8 8 9 2 9 3 8 8 1 1 5 7 2 8 9 9 8
 6 7 6 6 2 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True False  True  True False  True False  True False  True  True
  True  True  True  True False  True False  True  True  True  True  True
 False  True  True  True  True  True  True  True  True  True False False
  True False  True  True  True  True  True False  True  True  True False
  True  True  True  True  True  True  True False False  True  True  True
 False  True  True False  True  True False  True]"
15.5 1.0678609758270845 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 0 9 5 4 0 9 6 6 5 4 9 2 4 1 9 5 4 6 6 0
 9 3 7 9 8 3 8 8 7 7 4 7 3 6 2 1 2 3 7 2 8 8 0 2 9 3 8 8 1 1 2 5 2 8 9 0 3
 8 6 4 6 6 0 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 2 9 4 4 4 9 6 6 5 4 9 3 4 9 9 5 4 6 6 8
 9 3 7 9 8 3 8 8 7 5 5 7 5 6 2 1 2 3 9 2 8 8 9 2 9 3 8 8 1 1 5 7 2 8 9 9 3
 8 6 7 6 6 2 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True False  True  True False  True False  True False  True  True
  True  True  True  True False  True False  True  True  True  True  True
 False  True  True  True  True  True  True  True  True  True False False
  True False  True  True  True  True  True False  True  True  True False
  True  True  True  True  True  True  True False False  True  True  True
 False  True  True  True False  True  True False  True]"
15.5 1.078741214042331 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 0 9 5 4 0 9 6 6 5 4 9 2 4 1 9 5 4 6 6 0
 9 3 7 9 8 3 8 8 7 7 4 6 7 3 6 2 1 2 3 7 2 8 8 0 2 9 3 8 8 1 1 2 5 2 8 9 0
 3 8 6 4 6 6 0 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 2 9 4 4 4 9 6 6 5 4 9 3 4 9 9 5 4 6 6 8
 9 3 7 9 8 3 8 8 7 5 5 3 7 5 6 2 1 2 3 9 2 8 8 9 2 9 3 8 8 1 1 5 7 2 8 9 9
 3 8 6 7 6 6 2 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True False  True  True False  True False  True False  True  True
  True  True  True  True False  True False  True  True  True  True  True
 False  True  True  True  True  True  True  True  True  True False False
 False  True False  True  True  True  True  True False  True  True  True
 False  True  True  True  True  True  True  True False False  True  True
  True False  True  True  True False  True  True False  True]"
15.75 1.106195663987012 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 0 9 5 2 4 0 9 6 6 5 4 9 2 4 1 9 5 4 6 6
 0 9 3 7 9 8 3 8 8 7 7 4 6 7 3 6 2 1 2 3 7 2 8 8 0 2 9 3 8 8 1 1 2 5 2 8 9
 0 3 8 6 4 6 6 0 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 2 9 4 2 4 4 9 6 6 5 4 9 3 4 9 9 5 4 6 6
 8 9 3 7 9 8 3 8 8 7 5 5 3 7 5 6 2 1 2 3 9 2 8 8 9 2 9 3 8 8 1 1 5 7 2 8 9
 9 3 8 6 7 6 6 2 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True False  True  True False  True False  True  True False  True
  True  True  True  True  True False  True False  True  True  True  True
  True False  True  True  True  True  True  True  True  True  True False
 False False  True False  True  True  True  True  True False  True  True
  True False  True  True  True  True  True  True  True False False  True
  True  True False  True  True  True False  True  True False  True]"
16.0 1.1085775254427785 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 7 0 9 5 2 4 0 9 6 6 5 4 9 2 4 1 9 5 4 6
 6 0 9 3 7 9 8 3 8 8 7 7 4 6 7 3 6 2 1 2 3 7 2 8 8 0 2 9 3 8 8 1 1 2 5 2 8
 9 0 3 8 6 4 6 6 0 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 7 2 9 4 2 4 4 9 6 6 5 4 9 3 4 9 9 5 4 6
 6 8 9 3 7 9 8 3 8 8 7 5 5 3 7 5 6 2 1 2 3 9 2 8 8 9 2 9 3 8 8 1 1 5 7 2 8
 9 9 3 8 6 7 6 6 2 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True False  True  True  True False  True False  True  True False
  True  True  True  True  True  True False  True False  True  True  True
  True  True False  True  True  True  True  True  True  True  True  True
 False False False  True False  True  True  True  True  True False  True
  True  True False  True  True  True  True  True  True  True False False
  True  True  True False  True  True  True False  True  True False  True]"
16.25 1.1088695267213389 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 7 0 9 5 2 4 0 9 6 6 5 4 9 2 4 1 9 5 4 6
 6 0 9 3 7 9 8 3 8 8 7 7 4 6 7 3 6 2 1 2 3 7 2 8 8 0 2 9 3 8 8 1 1 7 2 5 2
 8 9 0 3 8 6 4 6 6 0 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 7 2 9 4 2 4 4 9 6 6 5 4 9 3 4 9 9 5 4 6
 6 8 9 3 7 9 8 3 8 8 7 5 5 3 7 5 6 2 1 2 3 9 2 8 8 9 2 9 3 8 8 1 1 7 5 7 2
 8 9 9 3 8 6 7 6 6 2 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True False  True  True  True False  True False  True  True False
  True  True  True  True  True  True False  True False  True  True  True
  True  True False  True  True  True  True  True  True  True  True  True
 False False False  True False  True  True  True  True  True False  True
  True  True False  True  True  True  True  True  True  True  True False
 False  True  True  True False  True  True  True False  True  True False
  True]"
16.25 1.1098781956611319 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 7 0 9 5 2 4 0 9 6 6 5 4 9 2 4 1 9 5 4 6
 6 0 9 3 7 9 8 3 8 8 7 7 4 6 7 3 6 2 1 2 3 7 2 6 8 8 0 2 9 3 8 8 1 1 7 2 5
 2 8 9 0 3 8 6 4 6 6 0 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 7 2 9 4 2 4 4 9 6 6 5 4 9 3 4 9 9 5 4 6
 6 8 9 3 7 9 8 3 8 8 7 5 5 3 7 5 6 2 1 2 3 9 2 3 8 8 9 2 9 3 8 8 1 1 7 5 7
 2 8 9 9 3 8 6 7 6 6 2 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True False  True  True  True False  True False  True  True False
  True  True  True  True  True  True False  True False  True  True  True
  True  True False  True  True  True  True  True  True  True  True  True
 False False False  True False  True  True  True  True  True False  True
 False  True  True False  True  True  True  True  True  True  True  True
 False False  True  True  True False  True  True  True False  True  True
 False  True]"
16.25 1.1150762169818835 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 7 0 9 5 2 4 0 9 6 6 5 4 5 9 2 4 1 9 5 4
 6 6 0 9 3 7 9 8 3 8 8 7 7 4 6 7 3 6 2 1 2 3 7 2 6 8 8 0 2 9 3 8 8 1 1 7 2
 5 2 8 9 0 3 8 6 4 6 6 0 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 7 2 9 4 2 4 4 9 6 6 5 4 3 9 3 4 9 9 5 4
 6 6 8 9 3 7 9 8 3 8 8 7 5 5 3 7 5 6 2 1 2 3 9 2 3 8 8 9 2 9 3 8 8 1 1 7 5
 7 2 8 9 9 3 8 6 7 6 6 2 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True False  True  True  True False  True False  True  True False
  True  True  True  True  True False  True False  True False  True  True
  True  True  True False  True  True  True  True  True  True  True  True
  True False False False  True False  True  True  True  True  True False
  True False  True  True False  True  True  True  True  True  True  True
  True False False  True  True  True False  True  True  True False  True
  True False  True]"
16.25 1.1308303449150436 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 7 0 9 5 2 4 0 9 6 6 5 4 5 9 2 4 1 9 5 4
 6 6 0 9 3 7 9 8 0 3 8 8 7 7 4 6 7 3 6 2 1 2 3 7 2 6 8 8 0 2 9 3 8 8 1 1 7
 2 5 2 8 9 0 3 8 6 4 6 6 0 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 7 2 9 4 2 4 4 9 6 6 5 4 3 9 3 4 9 9 5 4
 6 6 8 9 3 7 9 8 7 3 8 8 7 5 5 3 7 5 6 2 1 2 3 9 2 3 8 8 9 2 9 3 8 8 1 1 7
 5 7 2 8 9 9 3 8 6 7 6 6 2 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True False  True  True  True False  True False  True  True False
  True  True  True  True  True False  True False  True False  True  True
  True  True  True False  True  True  True  True  True False  True  True
  True  True False False False  True False  True  True  True  True  True
 False  True False  True  True False  True  True  True  True  True  True
  True  True False False  True  True  True False  True  True  True False
  True  True False  True]"
16.5 1.140680380100425 "[3 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 7 0 9 5 2 4 0 9 6 6 5 4 5 9 2 4 1 9 5 4
 6 6 0 9 3 7 9 8 0 3 8 8 7 7 4 6 7 3 6 6 2 1 2 3 7 2 6 8 8 0 2 9 3 8 8 1 1
 7 2 5 2 8 9 0 3 8 6 4 6 6 0 7]" "[3 8 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 7 2 9 4 2 4 4 9 6 6 5 4 3 9 3 4 9 9 5 4
 6 6 8 9 3 7 9 8 7 3 8 8 7 5 5 3 7 5 6 6 2 1 2 3 9 2 3 8 8 9 2 9 3 8 8 1 1
 7 5 7 2 8 9 9 3 8 6 7 6 6 2 7]" "[ True  True  True  True False  True  True False  True  True  True  True
  True  True False  True  True  True False  True False  True  True False
  True  True  True  True  True False  True False  True False  True  True
  True  True  True False  True  True  True  True  True False  True  True
  True  True False False False  True False  True  True  True  True  True
  True False  True False  True  True False  True  True  True  True  True
  True  True  True False False  True  True  True False  True  True  True
 False  True  True False  True]"
16.5 1.1666995927769988 "[3 8 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 7 0 9 5 2 4 0 9 6 6 5 4 5 9 2 4 1 9 5
 4 6 6 0 9 3 7 9 8 0 3 8 8 7 7 4 6 7 3 6 6 2 1 2 3 7 2 6 8 8 0 2 9 3 8 8 1
 1 7 2 5 2 8 9 0 3 8 6 4 6 6 0 7]" "[3 8 1 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 7 2 9 4 2 4 4 9 6 6 5 4 3 9 3 4 9 9 5
 4 6 6 8 9 3 7 9 8 7 3 8 8 7 5 5 3 7 5 6 6 2 1 2 3 9 2 3 8 8 9 2 9 3 8 8 1
 1 7 5 7 2 8 9 9 3 8 6 7 6 6 2 7]" "[ True  True False  True  True False  True  True False  True  True  True
  True  True  True False  True  True  True False  True False  True  True
 False  True  True  True  True  True False  True False  True False  True
  True  True  True  True False  True  True  True  True  True False  True
  True  True  True False False False  True False  True  True  True  True
  True  True False  True False  True  True False  True  True  True  True
  True  True  True  True False False  True  True  True False  True  True
  True False  True  True False  True]"
16.75 1.1909695707401002 "[3 8 8 6 6 1 3 1 0 9 5 7 9 8 5 7 8 6 7 0 9 5 2 4 0 9 6 6 5 4 5 9 2 4 1 9 5
 4 6 6 0 9 3 7 9 8 0 3 8 8 7 7 4 6 7 3 6 6 2 1 2 3 7 2 6 8 8 0 2 9 3 3 8 8
 1 1 7 2 5 2 8 9 0 3 8 6 4 6 6 0 7]" "[3 8 1 6 6 3 3 1 3 9 5 7 9 8 5 9 8 6 7 2 9 4 2 4 4 9 6 6 5 4 3 9 3 4 9 9 5
 4 6 6 8 9 3 7 9 8 7 3 8 8 7 5 5 3 7 5 6 6 2 1 2 3 9 2 3 8 8 9 2 9 3 3 8 8
 1 1 7 5 7 2 8 9 9 3 8 6 7 6 6 2 7]" "[ True  True False  True  True False  True  True False  True  True  True
  True  True  True False  True  True  True False  True False  True  True
 False  True  True  True  True  True False  True False  True False  True
  True  True  True  True False  True  True  True  True  True False  True
  True  True  True False False False  True False  True  True  True  True
  True  True False  True False  True  True False  True  True  True  True
  True  True  True  True  True False False  True  True  True False  True
  True  True False  True  True False  True]"
17.0 1.2284852219331874 "[3 8 8 6 6 1 6 3 1 0 9 5 7 9 8 5 7 8 6 7 0 9 5 2 4 0 9 6 6 5 4 5 9 2 4 1 9
 5 4 6 6 0 9 3 7 9 8 0 3 8 8 7 7 4 6 7 3 6 6 2 1 2 3 7 2 6 8 8 0 2 9 3 3 8
 8 1 1 7 2 5 2 8 9 0 3 8 6 4 6 6 0 7]" "[3 8 1 6 6 3 6 3 1 3 9 5 7 9 8 5 9 8 6 7 2 9 4 2 4 4 9 6 6 5 4 3 9 3 4 9 9
 5 4 6 6 8 9 3 7 9 8 7 3 8 8 7 5 5 3 7 5 6 6 2 1 2 3 9 2 3 8 8 9 2 9 3 3 8
 8 1 1 7 5 7 2 8 9 9 3 8 6 7 6 6 2 7]" "[ True  True False  True  True False  True  True  True False  True  True
  True  True  True  True False  True  True  True False  True False  True
  True False  True  True  True  True  True False  True False  True False
  True  True  True  True  True False  True  True  True  True  True False
  True  True  True  True False False False  True False  True  True  True
  True  True  True False  True False  True  True False  True  True  True
  True  True  True  True  True  True False False  True  True  True False
  True  True  True False  True  True False  True]"
17.0 1.2540472201412267 "[3 8 8 6 6 1 6 3 1 0 9 5 7 9 8 5 7 8 6 7 0 9 5 2 4 0 9 6 6 5 4 5 9 2 4 1 9
 5 4 6 6 0 9 3 7 6 9 8 0 3 8 8 7 7 4 6 7 3 6 6 2 1 2 3 7 2 6 8 8 0 2 9 3 3
